"","x","y","z"
"X1","2022-01-10","10.00","887.38"
"X2","2022-01-17","6.00","887.38"
"X4","2022-02-07","2.00","887.38"
"X6","2022-02-28","7.00","887.38"
"X7","2022-03-21","2.00","887.38"
"X8","2022-03-28","8.00","1152.00"
"X10","2022-04-11","10.00","1152.00"
"X12","2022-05-16","10.00","1152.00"
"X13","2022-05-30","6.00","1152.00"
"X14","2022-06-22","7.00","1152.00"
"X15","2022-06-27","2.00","1152.00"
"X18","2022-08-01","10.00","1384.00"
"X21","2022-09-29","9.00","1384.00"
"X24","2022-10-12","10.00","1384.00"
"X25","2022-10-24","10.00","1384.00"
"X29","2022-11-28","5.00","1384.00"
"X30","2022-12-05","6.00","1384.00"
"X33","2023-01-16","8.00","1384.00"
"X36","2023-02-06","10.00","1384.00"
"X39","2023-02-20","6.00","1384.00"
"X40","2023-02-27","2.00","1384.00"
"X41","2023-03-01","3.00","1384.00"
