name,index
1-5Crystal Line,1
Азинокс ,2
Альбен,3
Амоксициллин 1,4
Анальгивет,5
Анандин ,6
Байтрил ,7
Барс ,8
Биовак DPAL (1 доза),9
Биокан ,10
Бравекто,11
Веракол ,12
Витам ,13
Гамавит,14
Гельминтал,15
Гепасейф ,16
Гепатовет ,17
Дексафорт ,18
Дирофен ,19
Здоровые почки ,20
Ивермек,21
Кантраен ,22
Карданон ,23
Кладска,24
КонтрСекс ,25
Куртикол ,26
Лиарсан ,27
Линкомицин ,28
Лобелон 100мл ,29
Максидин ,30
Мастометрин ,31
Метастоп,32
Мультикан-6,33
Мультикан-8,34
Мультифел-4 ,35
Нобивак  ,36
Нуклеопептид ,37
Овариовит ,38
Окситоцин ,39
Онсиор ,40
Отоксолан ,41
Панкрелакс ,42
Поливак ТМ,43
Полидекс,44
Превикокс ,45
Рингера-Локка ,46
Рометар,47
Ронколейкин,48
Седимин,49
Синулокс ,50
Стоп-Зуд,51
Стоп-Стресс,52
Стоп-Цистит ,53
Террамицин,54
Тетравит,55
Тетрагидровит ,56
Травматин,57
Травмвет,58
Трококсил ,59
Уролекс,60
Фармавит ,61
Фитекс,62
Фоспренил,63
Фунгин ,64
Хондартрон ,65
Ципровет,66
Цитостат ,67
Чистая кожа ,68
Эмицидин ,69
